年,地區,平均每戶全年交通費用,交通費用占家庭支出之百分比,汽車數合計,小客車數,大客車、大小貨車數,汽車持有率總計,小客車持有率,機車數,機車持有率
2017,臺閩地區,76765,7.5,7883992,6763422,1120570,334.4752,286.9355083,13755582,583.5751359
2017,臺灣地區,76765,7.5,7841408,6726469,1115557,334.804,287.1995348,13687375,584.4088084
2017,北部區域,93366.85714,1.2,3199059,2837477,361582,299.556,265.6980602,5294425,495.7638256
2017,臺北市,77258,5.4,801521,724051,77470,298.711,269.840347,953645,355.4057625
2017,新北市,74792,7.2,1009010,892238,116772,253.094,223.8042646,2188019,548.8311228
2017,基隆市,64450,6.8,96487,87180,9307,259.752,234.6967894,182847,492.241384
2017,新竹市,109257,8.8,153151,138139,15012,347.177,313.1466318,259794,588.9257637
2017,桃園市,92121,8.3,762349,670123,92226,348.42,306.2695582,1153997,527.4168345
2017,新竹縣,151080,11.1,218387,192609,25778,395.507,348.8225525,286588,519.0222559
2017,宜蘭縣,84610,8.6,158154,133137,25017,346.367,291.5789727,269535,590.2997545
2017,中部區域,68094.8,1.1,2266212,1901901,364311,389.7344,327.0816555,3557313,611.7730761
2017,臺中市,74354,7,1071431,926625,144806,384.429,332.4728119,1687364,605.4257697
2017,苗栗縣,78919,2.6,219605,187744,31861,396.537,339.0061881,319477,576.874254
2017,彰化縣,58119,7.5,493711,403862,89849,384.972,314.9124572,813402,634.2523498
2017,南投縣,63968,8.6,211179,170421,40758,421.472,340.1270529,311361,621.415784
2017,雲林縣,65114,9.5,270286,213249,57037,391.507,308.8895423,425709,616.6362242
2017,南部區域,67117.83333,1.3,2174639,1825574,349065,340.958,286.2286858,4482195,702.755837
2017,高雄市,73449,7,892302,761649,130653,321.3288,274.2791273,1999902,720.1891886
2017,臺南市,75862,8.1,672005,572006,99999,356.2137,303.2066416,1289720,683.6495943
2017,嘉義市,71872,7.9,94091,81010,13081,349.263,300.7075034,176778,656.1964083
2017,嘉義縣,87139,11.3,198881,156898,41983,389.061,306.9317777,322523,630.9357528
2017,屏東縣,60820,7.5,287133,228200,58933,345.9688,274.9599669,617054,743.4931965
2017,澎湖縣,33565,5.3,30227,25811,4416,290.44,248.0086093,76218,732.3513303
2017,東部區域,51353.5,3.7,202116,161517,40599,368.302,294.3217372,353442,644.05396
2017,花蓮縣,58228,7.8,123340,100717,22623,374.623,305.9103321,201456,611.8874853
2017,臺東縣,44479,6.8,78776,60800,17976,358.822,276.9426984,151986,692.2929762
2017,福建省,,,42584,36953,5013,283.258,245.8027352,68207,453.6970519
2017,金門縣,,,38843,34309,4534,282.584,249.599872,61556,447.8233035
2017,連江縣,,,3123,2644,479,242.468,205.2795031,6651,516.3819876
